"Nationality","Player_Count","Total_Appearances","Total_Goals","Total_Assists","Avg_Age","Top_Club"
"England",222,16227,1593,1172,24.82,"Liverpool"
"France",30,2366,304,189,25.8,"Tottenham-Hotspur"
"Spain",28,2250,151,171,27,"Manchester-United"
"Brazil",24,1729,247,158,26.79,"Arsenal"
"Ireland",24,1680,149,108,26.42,"Southampton"
"Scotland",20,1613,129,164,27.2,"Burnley"
"Netherlands",18,1103,82,64,24.56,"Burnley"
"Argentina",13,1075,230,93,28.77,"Manchester-City"
"Wales",13,961,72,50,25.62,"Tottenham-Hotspur"
"Belgium",13,933,171,119,26.15,"Crystal-Palace"
"Germany",12,703,73,82,26.17,"Arsenal"
"Portugal",21,690,64,70,24.14,"Manchester-City"
"Serbia",5,677,78,50,29.4,"West-Bromwich-Albion"
"Denmark",7,513,6,7,27,"Leicester-City"
"Nigeria",6,437,55,38,25,"Everton"
"Egypt",5,426,92,46,28.6,"Aston-Villa"
"Ghana",5,413,40,24,26,"Crystal-Palace"
"Senegal",3,398,100,39,29,"Crystal-Palace"
"Cote D'Ivoire",7,396,49,41,25.86,"Crystal-Palace"
"Iceland",3,380,68,62,28.33,"Everton"
"Northern Ireland",6,368,13,10,25.83,"Leicester-City"
"Poland",7,329,4,9,26.71,"West-Ham-United"
"Switzerland",4,321,36,32,29.5,"Arsenal"
"Italy",5,268,13,7,25,"West-Ham-United"
"Algeria",3,257,66,45,29.67,"Manchester-City"
"The Democratic Republic Of Congo",4,217,11,23,26.75,"Everton"
"Jamaica",3,199,14,4,30.33,"Leicester-City"
"Colombia",5,198,10,7,25.8,"Tottenham-Hotspur"
"United States",6,168,11,10,25.17,"Newcastle-United"
"South Korea",1,162,57,29,28,"Tottenham-Hotspur"
"Gabon",2,134,57,15,29,"Arsenal"
"Bosnia And Herzegovina",2,124,2,11,27.5,"Arsenal"
"Morocco",3,124,8,5,28,"Southampton"
"Australia",2,112,0,0,24,"Brighton-and-Hove-Albion"
"Cameroon",2,110,4,1,26.5,"Liverpool"
"Austria",1,107,2,9,34,"Leicester-City"
"New Zealand",1,105,36,4,28,"Burnley"
"Sweden",4,100,2,2,23.5,"Manchester-United"
"Turkey",3,91,11,4,25.33,"Everton"
"Slovakia",2,89,0,0,27,"Newcastle-United"
"Paraguay",2,88,6,3,27.5,"Newcastle-United"
"Mali",3,87,3,3,23.33,"Brighton-and-Hove-Albion"
"Mexico",1,78,32,13,29,"Wolverhampton-Wanderers"
"Ukraine",2,75,7,4,26.5,"Manchester-City"
"Croatia",3,64,1,5,26.33,"Chelsea"
"Uruguay",1,63,3,3,24,"Arsenal"
"Czech Republic",1,57,6,5,28,"Burnley"
"Guinea",1,45,4,4,25,"Liverpool"
"Greece",2,44,3,2,28,"Arsenal"
"Norway",3,35,1,1,27,"Sheffield-United"
"Iran",1,31,2,0,27,"Brighton-and-Hove-Albion"
"Zimbabwe",1,29,0,0,26,"Aston-Villa"
"Romania",1,26,4,0,27,"Brighton-and-Hove-Albion"
"Japan",1,11,0,0,25,"Liverpool"
"Burkina Faso",1,10,2,1,25,"Aston-Villa"
"Saint Kitts And Nevis",1,2,0,0,28,"West-Bromwich-Albion"
"Ecuador",1,0,0,0,20,"Wolverhampton-Wanderers"
